,If you like,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-5848755753905481990,-5848755753905481990,2262656830196923781,6524157088939139948,-8796191278504623694,6852597772196653540,1.3330536241087268e+18
-5848514031542611523,-5848514031542611523,-2314360211211303885,6643427232964983922,-9039021554659316935,2709926970543371965,3.17077505814244e+18
-5847687782206566321,-5847687782206566321,-5319401396891346003,-6732229745645090645,962287586799267519,9215261273565326920,-6.255454949363032e+18
-5845411843260276924,-5845411843260276924,-282629989972409543,-6468782714472551646,-4866987227632887920,7790567704847993284,5.02808118710933e+18
-5843518165523212471,-5843518165523212471,-9095002324981651252,1642787330067525131,-1463025432902754108,-5794047401651735687,-1.0686032206395526e+18
-5839185923562195912,-5839185923562195912,8181531374206668183,2474876390020567211,3884256359744615997,-4575943417765899041,5.947470908330063e+18
-5836228373063558898,-5836228373063558898,4036103329046553070,1003778007373126185,363303724138208407,2531450382701518075,1.220948775534529e+18
-5833012379380837354,-5833012379380837354,-8026099268928087567,-6359164149051198083,7127997889533450554,-873780453963615794,4.702466408529037e+18
-5829979886567267504,-5829979886567267504,2121807307434667949,7421641564256558176,-6566175321434139682,-4762897581600184489,4.3450551312542106e+18
-5829402940194444779,-5829402940194444779,-7108012586837980940,8028897172674067530,-6798063491592860025,-5055745575969002313,5.761988486867613e+18
-5826278791285476287,-5826278791285476287,-3336755617029300430,-5238066650780855302,-1591454024897803197,4786732753690611738,9.032993320407723e+18
-5823763419123575797,-5823763419123575797,-3832772858396854546,-1669098707776725430,-4707863452603278075,-8149429101569453081,6.180979718957142e+18
-5823398424129440733,-5823398424129440733,-1447641181396994093,1737303669706106633,-623310439329591027,-4738242186452730534,8.659918766210334e+18
-5820943153819992582,-5820943153819992582,-5820943153819992582,7986490214699943896,-6313130301986591995,8076265166566225141,9.028580484484027e+18
-5813211845057621660,-5813211845057621660,-7113155163062752691,-3482581255202910790,-4070599188332885701,-1138633255366005559,8.302949268716968e+18
-5808672937983623398,-5808672937983623398,5817939718364925129,4869691310149728361,5380540855517464621,2847365042071859088,-7.766518409111703e+18
-5799839529845993396,-5799839529845993396,8863288680270590286,2384931701643938149,1649085803937938638,4296604388230897073,-3.705763041224967e+18
-5798690764728257756,-5798690764728257756,2927476152522512441,4328888515190573663,-2559385310537355580,5238119115012015307,1.4152305025867197e+18
-5794047401651735687,-5794047401651735687,-1463025432902754108,2050138727387005412,-1068603220639552685,5726008417498979736,7.077639154797499e+18
-5791454671270548045,-5791454671270548045,8200662919796009914,-2139739377293212491,3801064060797809024,4869691310149728361,-1.3128506811278653e+18
-5790539535722288419,-5790539535722288419,4746056663292225769,-8680242653057858999,7375475877233036849,-5658245291907121574,-6.727357771678896e+18
-5786811453218931415,-5786811453218931415,6377566860234930618,-2271868873349907631,-8146108036639482450,2384931701643938149,-7527881206365368.0
-5784991738549272379,-5784991738549272379,-4336877432539963613,-3723217532224917485,626121253933491500,1441248639512899483,-3.864069617285645e+18
-5784228041033890044,-5784228041033890044,-9184137057748005562,2379460324923679020,-5622405819042018718,-8368414190009234878,-2.548446404469756e+18
-5781461435447152359,-5781461435447152359,-5820943153819992582,-4351117979148287331,7986490214699943896,-6313130301986591995,9.028580484484027e+18
-5778988730475305016,-5778988730475305016,-8009527121402763559,-4270702541777554377,-6858240061363309239,-8706427875719844202,3.168079495368669e+18
-5769968511636780471,-5769968511636780471,-3285620956704836473,4333668738649701866,1117455951802655890,-340541651592032197,2.051327203770554e+18
-5762305367413370284,-5762305367413370284,-1804728901674946596,-1868297195590431285,1431351528207086249,-7900768082301348135,-3.211843544085893e+18
-5756697018315640725,-5756697018315640725,-5791454671270548045,-5331421579623797776,1440793148901830221,5082053563644129584,-8.189315446782328e+18
-5750828394349042089,-5750828394349042089,231281690254211527,-1181242543195516037,-2405892683303291957,4430356355587165611,5.312357518363318e+18
-5736221996280340620,-5736221996280340620,-759389978085260161,4915137112517573184,-7525512143002603676,-4503975842879662368,7.926736692763443e+18
-5729915270134094048,-5729915270134094048,-6215634663594744290,5524888769622800245,3134511142783292503,6614704926858202954,4.891010769166501e+18
-5715266554592745669,-5715266554592745669,1349971382589894814,9128267824356972069,8219310215587599928,7420742904084384944,1.4339518034384484e+18
-5702535287667979261,-5702535287667979261,7247406924790318523,-2489051066377567114,3799372021687456380,3310859214930485296,8.963938873430213e+18
-5691384416070374740,-5691384416070374740,5384282624557636856,4751741894255718069,-2429242279408079104,-1383778823073811714,-6.096307037126839e+18
-5691008411030226594,-5691008411030226594,-4975645025178552956,-329139582593571060,-9099155556042679205,-2896441888220202695,-3.645539449929727e+18
-5690023155612846030,-5690023155612846030,5681075485882787671,5940374562401786524,3801658304588389996,-498521148402713730,4.746056663292226e+18
-5689187996536546877,-5689187996536546877,-2548446404469756145,2436112252908442663,5928346445655989915,-3687965339291665275,-8.368414190009234e+18
-5686522658459155544,-5686522658459155544,-825802007843492131,-2114113759134837010,2379460324923679020,-9184137057748005562,-5.622405819042018e+18
-5684357871122991503,-5684357871122991503,7372398343609401828,8789407896263306493,5053372977408537204,-3368357500455466403,-4.4519189631217807e+18
-5680127089889759432,-5680127089889759432,6870972580508513306,7036087807129071010,-1172724258904585136,5037403311832115000,-8.854530470818326e+17
-5679515279292214033,-5679515279292214033,6352416307575007029,-6463637573325658465,-3633300009206493694,3915768615016750361,6.504364365389214e+18
-5679427141235752819,-5679427141235752819,1487738553913510703,9122627895188486603,5147907773522671167,8049518593334748695,-2.1810712899728356e+18
-5678159351655490918,-5678159351655490918,2335028422423709400,8637400873589298078,8298709454703868984,-9171475473795142532,8.56511598051586e+18
-5676280017759875198,-5676280017759875198,-6312384811410586459,-2940536914889279273,-2855218766021441159,9112765177685685246,-8.72356872751887e+18
-5669503112960687520,-5669503112960687520,3541770362851368020,-8025433077701076525,-1676378465482420452,-3850803681204406658,-3.8758815348639887e+18
-5658245291907121574,-5658245291907121574,-7126520323752764957,786135087362634258,3566197569262766169,-1060990524105135617,-6.467708104873171e+18
-5649504870272917833,-5649504870272917833,6847089514431675996,1468327003955810686,2900029983899283273,7507067965574797372,3.0689756144325386e+18
-5647324599703588252,-5647324599703588252,6214107032842332406,-8026099268928087567,-2855910583928922225,-9019233957195913605,7.12799788953345e+18
-5637143900506554933,-5637143900506554933,-3622715112759104312,1449689399273695199,-3915769742442748515,5111115201913219115,8.968837261991914e+18
-5636731245639685654,-5636731245639685654,-3633300009206493694,6352416307575007029,5640834597379907148,6504364365389213533,-6.463637573325658e+18
-5628897645967553681,-5628897645967553681,1990052153136096105,-7217198366041991957,-7726397374158219907,9178250635927683,4.1093668168868736e+18
-5628343274127925011,-5628343274127925011,2255878226385826814,5929055844564382383,6800965548226529308,-86767468210285959,-5.458316826145146e+18
-5625593730080264433,-5625593730080264433,8240934591713322028,3999205546352981758,8926889915100214784,5795281877636738272,-2.4008791123989745e+18
-5622405819042018718,-5622405819042018718,2379460324923679020,-9184137057748005562,2037560494723407153,-8368414190009234878,-4.948201003470937e+18
-5618100784509704440,-5618100784509704440,-33740349536513960,-5204755921272353160,2668385070649954934,8267509427016592713,-3.751398885033122e+18
-5613218615976195909,-5613218615976195909,-5395935973320542237,1331356827163029243,-3348458175249982599,-273156842634169039,2.6330338541188516e+18
-5610593914683957297,-5610593914683957297,-5610593914683957297,6807042796917367736,4102576381061107965,-2504825704002833401,-6.671934042278757e+17
-5608160619992456731,-5608160619992456731,4485571547865864859,9124439338148818380,2081512200574495983,5701873751630396950,5.271898714958116e+18
-5605799891597699962,-5605799891597699962,7697593937932606048,362899217568283146,-21036008762564671,1469580151036142903,-2.4022882921088927e+18
-5602127731550819348,-5602127731550819348,2335028422423709400,-5678159351655490918,8637400873589298078,8298709454703868984,-2.208293144000551e+18
-5600393064072065417,-5600393064072065417,1431351528207086249,-7900768082301348135,-1868297195590431285,-1804728901674946596,-1.5818476025718266e+17
-5581910915745827384,-5581910915745827384,-7905002887579197656,-5581910915745827384,-6245524727898921842,8195862936106508846,-1.1505912292503186e+18
-5579492244806284582,-5579492244806284582,-1852234953549915446,6240076106289531207,-8686523832043452855,6932547594283220441,-8.041742992841055e+18
-5578229678262992168,-5578229678262992168,-5452374239565071760,3076823183761975019,-1868297195590431285,1431351528207086249,-1.8047289016749466e+18
-5573840044320724169,-5573840044320724169,8038154459609789205,8200662919796009914,-1312850681127865433,5380540855517464621,4.869691310149728e+18
-5571606607344218289,-5571606607344218289,2293315701090958124,-6499865726739947794,-1861959619649725543,-8099709040471107382,3.8232683277044127e+18
-5570795524983603787,-5570795524983603787,4644672909721737325,-8681175158863587641,5018472516978866574,-595851741330881198,5.092635400707339e+18
-5570256785328462468,-5570256785328462468,-8980834789053459155,5834671664627894569,-3718969219417182449,8433131156569129937,8.295457724580096e+18
-5570129644089964821,-5570129644089964821,4307023751244532288,5462702203586546682,7616911250531106641,4575580212020245658,2.5863790294878817e+18
-5557505576293652420,-5557505576293652420,-3540554289369551216,-7564053678326007415,2280365999288629014,-3351656282247453586,1.5568781990279304e+18
-5550023273712568004,-5550023273712568004,8200662919796009914,-5808672937983623398,3801064060797809024,-7766518409111702133,4.869691310149728e+18
-5527182266336855540,-5527182266336855540,5162508842577612756,-3790313320969344469,-9216926795620865886,8814787788150050622,-7.879096649194981e+18
-5525441367600219076,-5525441367600219076,-6817732106250460899,-5020541944663390025,-8508598439431879680,-8864073373672512525,-1.4444813018618724e+18
-5522643017727334716,-5522643017727334716,-7202774608580336956,-4205346868684833897,1318981494172475806,3779434447835779494,-4.186591400427142e+18
-5521549171704079872,-5521549171704079872,-3265730906936163775,-5521549171704079872,-4248528062574538011,8962537427807366481,-5.500597021296521e+18
-5515204090203464377,-5515204090203464377,1590841424376000970,-4770861947600256785,8982094176562780806,7813943820850065086,4.0856932945520666e+17
-5507019982244746725,-5507019982244746725,-2828628091730682303,-1249436522568155938,5032631648793129465,-5570795524983603787,7.965539599896143e+18
-5500597021296520708,-5500597021296520708,-3265730906936163775,-5521549171704079872,-4248528062574538011,8160885002406274828,8.962537427807366e+18
-5491334714953807444,-5491334714953807444,179286456725721055,2124033843135988844,1586004000405879970,-2430889785264760757,-3.6052964716483437e+17
-5488842573681626972,-5488842573681626972,-1565401790888834000,6591596441845797769,5333141914314968598,-4760639635023250284,8.749720044741011e+18
-5482295111885355605,-5482295111885355605,3751305746867503759,-2899726011463496555,3149164017776669829,-8518096793350810174,-6.60335116201042e+18
-5470166294767187597,-5470166294767187597,-9040419159428373932,-9152398073968262186,-5470166294767187597,-2800563841840387504,-8.9681017716042e+18
-5464698687596686623,-5464698687596686623,-645584250289067285,6607431762270322325,3750772607644674028,8993230615635349817,6.412479507689487e+18
-5458316826145145813,-5458316826145145813,2255878226385826814,-5628343274127925011,6800965548226529308,5929055844564382383,-8.676746821028595e+16
-5452374239565071760,-5452374239565071760,-5578229678262992168,8316918063034631031,-427385793606723821,3076823183761975019,-1.8682971955904312e+18
-5446204508747882127,-5446204508747882127,-8467102776052559275,8254285966695461849,5484061377044071389,5854206600849997966,7.985545205318799e+18
-5444306124868253918,-5444306124868253918,-6157984812065160219,5714314286511882372,4757923412035174662,7255021292858609470,-3.850803681204407e+18
-5434287697440336767,-5434287697440336767,-8582642829303844420,-9045753673721269477,8946250624470221174,5817939718364925129,-5.808672937983623e+18
-5431549861280885742,-5431549861280885742,-8248141950199177506,-7130425546996181071,-2826566343807132236,6234756865145917449,-4.399400419562743e+18
-5414889822782394955,-5414889822782394955,6201946560186605500,-3488100191290830083,-8801071115335368509,7207307032404768106,-1.6069098381511296e+18
-5411404485622449820,-5411404485622449820,-8935051432668167578,-5411404485622449820,-5289386635926629588,-4882849408937990337,3.70215001780696e+18
-5410531116380081703,-5410531116380081703,-788035419968530567,4345055131254210605,-3951274083288934897,5964888566269323942,-2.103600876256467e+16
-5405021817466310759,-5405021817466310759,2695065703077082407,-4662020648308370136,6237433897543964784,-3718969219417182449,-1.5012776439535058e+18
-5403733687257676872,-5403733687257676872,5940374562401786524,3801658304588389996,5681075485882787671,-498521148402713730,-5.658245291907121e+18
-5395935973320542237,-5395935973320542237,4235212484048164433,3742318026370211556,2323403245382926621,5191381587333696286,5.322532051893154e+18
-5386512752101672374,-5386512752101672374,-6126634320182965455,9178250635927683,6377566860234930618,4109366816886873672,-7527881206365368.0
-5380376324140474506,-5380376324140474506,6165641386379495559,7943906961970828120,9215261273565326920,7814856426770804213,-7.666273193533606e+18
-5363263367015469934,-5363263367015469934,9128267824356972069,-1802980374508081539,-456574518348806233,8381798621267347902,8.2193102155876e+18
-5361115220834660562,-5361115220834660562,-1338957937839941365,5589105207760786822,-2097075598039554565,-6076367233589223323,5.684817723169964e+18
-5350793437550886525,-5350793437550886525,-310216403933861245,1590841424376000970,3361679265573758500,7965539599896143226,2.886532484516179e+17
-5345231991504930502,-5345231991504930502,1719976830095479814,-5345231991504930502,-894273917655637623,-6180514744351188891,1.1736589874158705e+18
-5331421579623797776,-5331421579623797776,3980405883168341377,-1313614305945895108,-3027055440570405664,-5791454671270548045,-2.587745393898246e+18
-5328971462978089293,-5328971462978089293,-556674612043273194,-6970201660508635241,3823268327704412514,-1511619461666295654,-1.8619596196497254e+18
-5322047011520469406,-5322047011520469406,914293752636521893,-6195775145989617417,7655627888058923987,-1302167511807875596,-6.142462826726348e+18
-5319401396891346003,-5319401396891346003,-5847687782206566321,-8641360668993633978,7508152369854945139,8835339470389644264,2.4292648944700396e+18
-5315378314308323942,-5315378314308323942,-5204755921272353160,2668385070649954934,8267509427016592713,6049739262059615567,-3.751398885033122e+18
-5314778455998444995,-5314778455998444995,5947470908330062710,-5314778455998444995,3884256359744615997,2474876390020567211,-4.5759434177658993e+18
-5313466754735123256,-5313466754735123256,7528802258213768379,-8282357075607822317,4604014376318271136,-1852324383183073754,-3.920984929373505e+18
-5297634649735765167,-5297634649735765167,-4485188959476061019,-7796858148829878756,-8704908797766843570,654383168348870348,-6.171950598721418e+18
-5289386635926629588,-5289386635926629588,-8935051432668167578,-5411404485622449820,-5289386635926629588,-4882849408937990337,3.70215001780696e+18
-5283011611531067471,-5283011611531067471,2435024834845042614,-2184022689343185012,-1437952039441999695,6868454399455433725,-5.017021199558168e+18
-5283009029345397378,-5283009029345397378,8582210754044680874,6664082205633624486,374674704202038318,-7639185658532886960,-2.9405369148892795e+18
-5257244885628286303,-5257244885628286303,-4201751526335049119,-8343581376353287618,34557439830244258,-3125361793069842594,-1.5574615112055217e+18
-5255285107284514595,-5255285107284514595,408569329455206654,5156657166068502754,4303142677581479651,-6016433871633244814,3.4651274475985464e+18
-5253644367331262405,-5253644367331262405,7395435905985567130,1954074927376897165,-377975173223377441,1137471872769164371,4.1187433894641055e+18
-5238066650780855302,-5238066650780855302,-3336755617029300430,9032993320407723266,2764830801602925772,-9055044275358686874,7.273139206342584e+18
-5231736210378596444,-5231736210378596444,-6394075099886393346,-8068727428160395745,3585886677712899987,8856169137131817223,4.78081805455237e+18
-5214997228209357198,-5214997228209357198,2436112252908442663,-8368414190009234878,7978090893338710234,-1687864471892802710,-7.009536306337651e+18
-5204755921272353160,-5204755921272353160,2668385070649954934,8267509427016592713,-5618100784509704440,-3751398885033121551,8.300126456272757e+18
-5200964355640106406,-5200964355640106406,-6940923725353716164,-6697357763177451167,3705075652854270482,167668355036921406,2.9900050469387694e+18
-5198756378866433953,-5198756378866433953,5037403311832115000,-4126288159365354498,-3357295447978726475,-8312968399134741370,6.439058322582971e+17
-5193720747719231594,-5193720747719231594,374352050712569304,-7162567255723313045,-9161596996229760398,-8349788035147634450,3.955415822724154e+16
-5181489804915739633,-5181489804915739633,1595230810451459837,5314107418764884230,7938100642081250873,-1137602700803601559,-5.027816744653978e+18
-5179565226573622983,-5179565226573622983,7933362470375280252,5191381587333696286,4235212484048164433,3742318026370211556,5.322532051893154e+18
-5179258585851879449,-5179258585851879449,1024145536490998555,-5452374239565071760,162771765556771108,8316918063034631031,-4.2738579360672384e+17
-5170198873410718233,-5170198873410718233,-4770861947600256785,4671890082953295903,8289311442635691404,4563006651994272837,3.269302169678466e+18
-5161313513317812402,-5161313513317812402,3980405883168341377,-5331421579623797776,-8311338126170554747,2602738827388230683,-8.189315446782328e+18
-5160830061297425098,-5160830061297425098,-91139000311163410,672199059798181601,717471739656838182,569574447134368517,8.90565692281062e+18
-5154395767417065070,-5154395767417065070,-3269885695260066314,365571143597993923,2399228553079505025,4241385837165861843,-4.541461982704074e+18
-5151030094059373567,-5151030094059373567,-7152753999571084411,2809702925357288303,7207514472495382992,1954991916791271993,-4.2650029398015114e+18
-5150441845583002912,-5150441845583002912,711995695898078056,-729129249377835720,-4158297476631283435,-5170198873410718233,4.2349410427494523e+18
-5148591903395022444,-5148591903395022444,-3675009040647936899,-3105075547863520421,-6171950598721418038,-2375266175756882986,-2.477364558321256e+18
-5123671543726522991,-5123671543726522991,-5600393064072065417,430255078684584595,-1804728901674946596,1431351528207086249,-1.8682971955904312e+18
-5116903270312432935,-5116903270312432935,3455160158461205368,161784308223385549,6094778865705471594,-1763986443823721481,-3.130182799308304e+18
-5115041394506292462,-5115041394506292462,8396284143617057811,-2797708685347481851,817467807875770568,-6792965795755857419,7.414965642940222e+18
-5088157426675091741,-5088157426675091741,1665726676688122621,-4358357193736101128,-8948234514303933700,3770082505811422124,6.642437212220341e+18
-5086435085468197402,-5086435085468197402,3703141283586666995,5913609969272242724,7804826445069770894,7813943820850065086,9.10894669274457e+17
-5082274522455747241,-5082274522455747241,4404314996867098682,139485217095648183,5266164468981660031,-2405892683303291957,-1.124738136890721e+18
-5078536505040226358,-5078536505040226358,393734797767236089,980458131533897249,-1452340812018195881,464601875539492971,-9.278622265576022e+17
-5071600977095793163,-5071600977095793163,-3946932055798267834,-3968102273907750828,8690601908689146128,532564948976818124,9.097038795628242e+17
-5065077552540450930,-5065077552540450930,7883212773611521498,3155118717275463069,4757923412035174662,6769852549722242790,8.954421145690968e+17
-5060993828460133882,-5060993828460133882,2531450382701518075,363303724138208407,1003778007373126185,1220948775534529013,8.70845247182554e+18
-5055745575969002313,-5055745575969002313,-7108012586837980940,8028897172674067530,-6798063491592860025,-1073835383506921412,-1.762456938647577e+18
-5044204125574973395,-5044204125574973395,-5973686110278905367,-6463637573325658465,6352416307575007029,2809702925357288303,-3.6333000092064937e+18
-5043294260151549400,-5043294260151549400,-3946932055798267834,-3968102273907750828,8690601908689146128,687641199951066750,-4.1945204957663503e+18
-5039153034159656707,-5039153034159656707,-2167839778474325326,215332765550420709,7944907848226041964,-4864344772765973009,-7.034660627992927e+18
-5037827401452845772,-5037827401452845772,5772565485432112058,8473367604990946179,-4469492210394109129,4460664691673874476,5.145921881592487e+18
-5027816744653977347,-5027816744653977347,5314107418764884230,1595230810451459837,5237574390644778994,-1137602700803601559,1.6629170277859203e+18
-5025556998520984849,-5025556998520984849,-6313130301986591995,6009447229221815725,2379460324923679020,-4351117979148287331,-5.820943153819993e+18
-5024561776910686117,-5024561776910686117,-1901742495252324928,3320201327008235211,3761187656635209729,8219310215587599928,9.128267824356973e+18
-5020541944663390025,-5020541944663390025,-8508598439431879680,-5525441367600219076,-6817732106250460899,-8864073373672512525,-1.4444813018618724e+18
-5017021199558167721,-5017021199558167721,6868454399455433725,6034099213718885791,6908884359295619150,6634206168889468590,7.203367456821805e+18
-5014627593450767720,-5014627593450767720,6565723369088595990,-2178100133349972724,8494390949377713372,-8314629309720421219,4.63301334537535e+18
-5011709367955107239,-5011709367955107239,-8669770849634489893,-5410531116380081703,-3102652803014865472,980458131533897249,-3.95924214836134e+18
-5009578843275173733,-5009578843275173733,2323403245382926621,4106497696154898573,-4570752586662989981,385212706171385893,-8.526359231369824e+18
-5002383425685129595,-5002383425685129595,-4216050818952952471,6352416307575007029,-5679515279292214033,-5238066650780855302,-6.463637573325658e+18
-5000193502203199335,-5000193502203199335,-7255737497176527784,-7638840925036528150,-6546787050052580484,2375950438753851487,-7.463572107837164e+18
-4996336942690402156,-4996336942690402156,-5581910915745827384,-6245524727898921842,-7905002887579197656,-2577148567706202814,8.195862936106509e+18
-4994468824009200256,-4994468824009200256,8754824745136110042,2271793263120018251,2598008935363515744,-4615575698508618335,1.3627236517151933e+18
-4977928818612291634,-4977928818612291634,-5762305367413370284,-3211843544085892873,-6566328419164841526,8685746777792503843,1.4313515282070863e+18
-4975645025178552956,-4975645025178552956,-5691008411030226594,-329139582593571060,-3645539449929727083,-1622037268576555626,-1.6634418881978947e+18
-4974757204495953627,-4974757204495953627,-1313614305945895108,-330801551666885085,8946250624470221174,5380540855517464621,-5.808672937983623e+18
-4948717594596229869,-4948717594596229869,-1511619461666295654,-4948717594596229869,4647928672998188259,-556674612043273194,-7.978530004844452e+17
-4948201003470936673,-4948201003470936673,2379460324923679020,-9184137057748005562,-5622405819042018718,2037560494723407153,-8.368414190009234e+18
-4944551138301474550,-4944551138301474550,524776334673868069,-2423593292146522678,5258604889412591249,5237574390644778994,6.218160233966054e+17
-4930542581518647030,-4930542581518647030,153466256338950062,6658481071718074876,-1755875383603052680,-1473180765724334454,-6.697357763177452e+18
-4925213312961842798,-4925213312961842798,-3645539449929727083,-8243488279185272615,-8700857105739861338,-1663441888197894674,3.7275878826175386e+18
-4921088466135297415,-4921088466135297415,1772786465683785304,3470393457385461859,8828175072897143018,-8508606815368130888,6.241723672990266e+18
-4920252354047555768,-4920252354047555768,-455124319026316634,5092635400707338872,8378863480597222815,-1403735753867098241,-8.353590933060506e+18
-4917007328809735647,-4917007328809735647,2598008935363515744,-4110354420726924665,-4994468824009200256,-8445686000003509032,4.804093434821394e+18
-4893195573827770029,-4893195573827770029,-2630716662499331227,-4925213312961842798,-3645539449929727083,-3060116862184714437,-8.243488279185273e+18
-4888170580455425266,-4888170580455425266,-5570795524983603787,4644672909721737325,-8681175158863587641,5018472516978866574,-5.958517413308812e+17
-4882849408937990337,-4882849408937990337,-8935051432668167578,-5289386635926629588,5232169374213306041,-5411404485622449820,-6.056382045660082e+18
-4875060556471576861,-4875060556471576861,-8734181034726403477,6409304780354173378,-3605608255586388018,-4050006690189978332,7.345394467579731e+18
-4872447160271266802,-4872447160271266802,4296604388230897073,-6460613292182959076,-1470592927114056630,4629488036162962359,3.6628326735701084e+18
-4866987227632887920,-4866987227632887920,-282629989972409543,-6468782714472551646,7790567704847993284,5028081187109329892,3.6182059201795773e+18
-4864344772765973009,-4864344772765973009,215332765550420709,-4864344772765973009,-7034660627992927630,4817624205684040310,-8.913397556833789e+18
-4844663695104994694,-4844663695104994694,-1737937277055036780,4303142677581479651,5156657166068502754,-720777800522871309,7.569814035922104e+18
-4833307637594287163,-4833307637594287163,5714314286511882372,1317782055909095806,4373020502739965726,-1101832997669013246,-1.257839697539084e+18
-4831310174172854034,-4831310174172854034,-6215634663594744290,5524888769622800245,6614704926858202954,-8606063418076691067,3.7467470420203834e+17
-4798431998955209742,-4798431998955209742,-1617279065634731389,2708089973817733462,2602738827388230683,-4974757204495953627,-5.550023273712568e+18
-4793380646045599184,-4793380646045599184,8870251820986769829,-4265002939801511319,-8418620743404378592,7059601745558171892,2.4342968838744125e+18
-4770861947600256785,-4770861947600256785,1590841424376000970,7813943820850065086,408569329455206654,4303142677581479651,-6.510151088126868e+18
-4767439283620384185,-4767439283620384185,31349081826574004,-4608017393995766765,-2400879112398974660,-44082375822273498,3.3804068305014564e+18
-4765711818183276269,-4765711818183276269,5314107418764884230,-5181489804915739633,1595230810451459837,-1137602700803601559,-5.027816744653978e+18
-4762897581600184489,-4762897581600184489,7421641564256558176,2121807307434667949,-6566175321434139682,-6817174660103551196,-3.951274083288935e+18
-4761420664091904483,-4761420664091904483,8947914348334479785,-6858665134018491791,5962268176939710955,1434312143013787309,-4.5243555494575273e+18
-4760639635023250284,-4760639635023250284,-1565401790888834000,5145921881592486583,7938100642081250873,-2038869595290705317,-6.192959589652486e+18
-4754223659064624252,-4754223659064624252,-1111518890369033396,2708089973817733462,7023677777837267720,-3759596852696130492,-7.992053163122499e+18
-4749032095489327822,-4749032095489327822,5314107418764884230,7351002593233940239,-3134743773662773628,-455124319026316634,3.269302169678466e+18
-4748027149000767298,-4748027149000767298,-8578355592291788601,-1060990524105135617,6678691743269420670,7498047411414226273,8.065912276310959e+18
-4740532350684079805,-4740532350684079805,8565115980515859979,4895396506368139469,3172866488852888544,-3709378389941441506,6.908884359295619e+18
-4738242186452730534,-4738242186452730534,-4412848927260591416,-1447641181396994093,-623310439329591027,-5823398424129440733,-1.1386332553660055e+18
-4726309075125105018,-4726309075125105018,9178250635927683,4109366816886873672,9158289456544908688,4786732753690611738,6.999813113145212e+18
-4718837078135183000,-4718837078135183000,3823268327704412514,-6499865726739947794,2293315701090958124,-8099709040471107382,-1.8619596196497254e+18
-4709710373442563586,-4709710373442563586,-3864069617285644895,5431399346444238856,-5973686110278905367,-5044204125574973395,1.0601590058803862e+18
-4707863452603278075,-4707863452603278075,2639926854188906104,-5823763419123575797,-1669098707776725430,564282370384747453,-3.832772858396855e+18
-4704033845097735448,-4704033845097735448,-6878119266243511199,-5024561776910686117,-2181071289972835602,-5600393064072065417,-4.3163949550332626e+18
-4700714777342103147,-4700714777342103147,8631616594020837056,5401376580769090495,-8370744479086515302,-7613994611628693820,-2.7200122283334707e+18
-4698104907897418459,-4698104907897418459,6850500272809381909,-2178100133349972724,4633013345375349272,8898031730873390440,-7.895534832212398e+18
-4673604375671208816,-4673604375671208816,-1463025432902754108,-5794047401651735687,5726008417498979736,-1068603220639552685,7.401798504722166e+18
-4673235524420943843,-4673235524420943843,-23817016428727099,-8259953995965151136,-1165347641456093580,6195056361889291497,-4.379516817975276e+16
-4668565519400205181,-4668565519400205181,-4640750981890093183,-2184022689343185012,8243193415815549463,-2715495584815099454,4.037478513037443e+18
-4662020648308370136,-4662020648308370136,8433131156569129937,7828019124127586556,8295457724580096419,-3718969219417182449,-8.980834789053459e+18
-4657414671719964025,-4657414671719964025,5842191581670322333,34557439830244258,-8343581376353287618,-3125361793069842594,1.971653634364578e+18
-4655195825208522542,-4655195825208522542,-1565401790888834000,6591596441845797769,-4760639635023250284,5145921881592486583,-6.713697716910929e+18
-4640750981890093183,-4640750981890093183,4037478513037442964,-2184022689343185012,-2715495584815099454,8243193415815549463,5.00542129387519e+18
-4625438649010928449,-4625438649010928449,-9076501258717815738,1507299850679912107,-8497895589300643949,-3959242148361340089,4.3074334446106363e+18
-4615575698508618335,-4615575698508618335,-1706114177222872702,4303142677581479651,5156657166068502754,3465127447598546258,-6.016433871633245e+18
-4615179238096674750,-4615179238096674750,-3875881534863988868,7818691400791322406,3541770362851368020,-8025433077701076525,-5.669503112960687e+18
-4613284400780388067,-4613284400780388067,623421554979899217,2518704978033827255,379773866860040428,6587635730509289343,4.920704891238923e+18
-4612605965384710183,-4612605965384710183,4904775878165401439,6236312923258954569,6407605752151817831,-7423191370472335463,2.0791007905486128e+17
-4608017393995766765,-4608017393995766765,6650072898902843826,-340541651592032197,2051327203770554158,967143806332397325,4.546206336477095e+18
-4600611344822394376,-4600611344822394376,-7051470020148066326,8878031598946138458,8982094176562780806,-1081723567492738167,-2.771694247641888e+17
-4582216289807398227,-4582216289807398227,4916417766268744775,7358145651645216086,-7620438371471449873,9128267824356972069,-4.565745183488062e+17
-4575943417765899041,-4575943417765899041,5947470908330062710,-5314778455998444995,3884256359744615997,2474876390020567211,-4.5759434177658993e+18
-4571929941432664145,-4571929941432664145,-724699218170106849,3761187656635209729,5237574390644778994,524776334673868069,-5.18148980491574e+18
-4570752586662989981,-4570752586662989981,2323403245382926621,6484776051882277624,-5009578843275173733,-5395935973320542237,-7.673844339521298e+18
-4562218760600603086,-4562218760600603086,-1609424513692297222,-1926525896637230556,8651615486877503655,2760023027553835473,6.521856301289868e+18
